,gene_id,chrom,start,end,strand,tss,Geneid,SYMBOL,log2FoldChange,padj,baseMean,avg_vst_counts,avg_counts,DE_status,promoter_NIPBL_score_0,promoter_H3K27Ac_score_0
0,ENSMUSG00000102269.1,chr1,4502904,4522904,+,4522904,ENSMUSG00000102269.1,,,,,6.282923369126723,9.833333333333334,nonsig,0.3718797675331576,0.2466365326330022
1,ENSMUSG00000098104.1,chr1,4689404,4709404,-,4689404,ENSMUSG00000098104.1,,,,,6.27559757873344,9.833333333333334,nonsig,0.36484046635389766,0.2870953477648546
2,ENSMUSG00000103922.1,chr1,4751130,4771130,+,4771130,ENSMUSG00000103922.1,,,,,8.387260672944151,220.16666666666666,nonsig,0.46661861094676366,0.6139000747135583
3,ENSMUSG00000033845.13,chr1,4785711,4805711,-,4785711,ENSMUSG00000033845.13,,,,,12.092017977965034,4030.3333333333335,nonsig,0.7412091066581403,3.449280579046201
4,ENSMUSG00000102275.1,chr1,4779213,4799213,-,4779213,ENSMUSG00000102275.1,,,,,6.991153424662948,46.0,nonsig,0.5561224442039651,2.3185938879585364
5,ENSMUSG00000025903.14,chr1,4787787,4807787,+,4807787,ENSMUSG00000025903.14,,,,,10.835680689865768,1699.0,nonsig,0.7756882560413026,3.7341409154168437
6,ENSMUSG00000033813.15,chr1,4837813,4857813,+,4857813,ENSMUSG00000033813.15,Tcea1,-0.31989701,0.021968506,3232.477407,11.737298154695717,3086.6666666666665,down,0.8182567135154889,3.1038045263810865
7,ENSMUSG00000062588.4,chr1,4880652,4900652,-,4880652,ENSMUSG00000062588.4,,,,,6.314776389440175,10.5,nonsig,0.4043680640108115,0.4241556417126851
8,ENSMUSG00000002459.17,chr1,5019540,5039540,-,5019540,ENSMUSG00000002459.17,,,,,6.339359661927575,11.5,nonsig,0.3344607141950076,0.7797156885400637
9,ENSMUSG00000033793.12,chr1,5050017,5070017,+,5070017,ENSMUSG00000033793.12,,,,,10.703478181146634,1481.1666666666667,nonsig,0.22700391330503797,0.18145919451148915
10,ENSMUSG00000025907.14,chr1,6186196,6206196,+,6206196,ENSMUSG00000025907.14,,,,,9.97597901208662,900.1666666666666,nonsig,0.29747264789047295,0.33052334582272425
11,ENSMUSG00000090031.2,chr1,6215294,6235294,-,6215294,ENSMUSG00000090031.2,,,,,6.40210143319912,13.166666666666666,nonsig,0.42393059531990807,2.1514058302586676
12,ENSMUSG00000102135.1,chr1,6896558,6916558,+,6916558,ENSMUSG00000102135.1,,,,,7.020777681417761,45.333333333333336,nonsig,0.33913781168118157,0.24458077633038194
13,ENSMUSG00000051285.17,chr1,7068919,7088919,+,7088919,ENSMUSG00000051285.17,,,,,10.913661665080133,1779.5,nonsig,0.5346336094051406,2.9468834997916087
14,ENSMUSG00000098201.1,chr1,7136587,7156587,-,7136587,ENSMUSG00000098201.1,,,,,6.181943221781618,6.5,nonsig,0.417117203489469,0.9254004156054241
15,ENSMUSG00000103509.1,chr1,7128109,7148109,+,7148109,ENSMUSG00000103509.1,,,,,8.127539884064314,227.83333333333334,nonsig,0.7359030760803761,3.0877579422802195
16,ENSMUSG00000048538.7,chr1,7157738,7177738,+,7177738,ENSMUSG00000048538.7,,,,,7.303131909537754,66.16666666666667,nonsig,0.39166412345827234,0.407033127515825
17,ENSMUSG00000097797.6,chr1,7397802,7417802,-,7397802,ENSMUSG00000097797.6,,,,,6.812975702474195,31.0,nonsig,0.38270475805348814,1.8443383062814598
18,ENSMUSG00000103067.1,chr1,7477967,7497967,+,7497967,ENSMUSG00000103067.1,,,,,6.427574097869015,17.5,nonsig,0.15769983574468152,0.610974370232758
19,ENSMUSG00000103903.1,chr1,7644080,7664080,+,7664080,ENSMUSG00000103903.1,,,,,6.609359651139343,28.333333333333332,nonsig,0.17981500204708206,0.1660385669271669
20,ENSMUSG00000025909.16,chr1,9298574,9318574,-,9298574,ENSMUSG00000025909.16,,,,,6.592532151690407,24.0,nonsig,0.3933698924735628,0.38529715915137924
21,ENSMUSG00000084353.1,chr1,8792163,8812163,-,8792163,ENSMUSG00000084353.1,,,,,6.553232988339023,18.5,nonsig,0.29165049089227113,0.22019561064710153
22,ENSMUSG00000103933.1,chr1,8795841,8815841,+,8815841,ENSMUSG00000103933.1,,,,,6.61642110215043,22.333333333333332,nonsig,0.28964531866236104,0.24807590019901304
23,ENSMUSG00000076135.1,chr1,8796137,8816137,+,8816137,ENSMUSG00000076135.1,,,,,6.215432153198694,7.166666666666667,nonsig,0.28720380769826076,0.24999553451910575
24,ENSMUSG00000061024.8,chr1,9525407,9545407,+,9545407,ENSMUSG00000061024.8,,,,,11.664716850118682,2962.6666666666665,nonsig,0.4924613861803028,2.8224518397148675
