chrom	start	end	strand	genomic_SCD	orientation	background_index	flank_bp	spacer_bp
chr2,chr2	96583084,96583084	96583103,96583103	-,-	1.146484375,1.146484375	>>	1	25	65
chr2,chr11	96583084,4135548	96583103,4135567	-,-	1.146484375,1.146484375	>>	1	25	65
chr2,chr11	96583084,109227323	96583103,109227342	-,+	1.146484375,1.138671875	>>	1	25	65
chr2,chr16	96583084,72985363	96583103,72985382	-,-	1.146484375,1.138671875	>>	1	25	65
chr2,chr9	96583084,40805064	96583103,40805083	-,-	1.146484375,1.13671875	>>	1	25	65
chr2,chr13	96583084,36276399	96583103,36276418	-,-	1.146484375,1.13671875	>>	1	25	65
chr2,chr3	96583084,87742649	96583103,87742668	-,+	1.146484375,1.134765625	>>	1	25	65
chr2,chr10	96583084,24635116	96583103,24635135	-,-	1.146484375,1.1328125	>>	1	25	65
chr2,chr16	96583084,75323822	96583103,75323841	-,+	1.146484375,1.130859375	>>	1	25	65
chr2,chr10	96583084,9019699	96583103,9019718	-,-	1.146484375,1.130859375	>>	1	25	65
chr2,chr5	96583084,99599099	96583103,99599118	-,+	1.146484375,1.1259765625	>>	1	25	65
chr2,chr10	96583084,17722828	96583103,17722847	-,+	1.146484375,1.123046875	>>	1	25	65
chr2,chr14	96583084,60786621	96583103,60786640	-,-	1.146484375,1.119140625	>>	1	25	65
chr2,chr18	96583084,50138037	96583103,50138056	-,+	1.146484375,1.1171875	>>	1	25	65
chr2,chr10	96583084,127340805	96583103,127340824	-,+	1.146484375,1.11328125	>>	1	25	65
chr2,chr2	96583084,168669887	96583103,168669906	-,-	1.146484375,1.111328125	>>	1	25	65
chr2,chr10	96583084,116196511	96583103,116196530	-,-	1.146484375,1.111328125	>>	1	25	65
chr2,chr1	96583084,4773435	96583103,4773454	-,+	1.146484375,1.109375	>>	1	25	65
chr2,chr4	96583084,43046156	96583103,43046175	-,+	1.146484375,1.103515625	>>	1	25	65
chr2,chr17	96583084,71008861	96583103,71008880	-,+	1.146484375,1.09765625	>>	1	25	65
chr2,chr18	96583084,38830484	96583103,38830503	-,+	1.146484375,1.09375	>>	1	25	65
chr2,chr2	96583084,5942968	96583103,5942987	-,-	1.146484375,1.0927734375	>>	1	25	65
chr2,chr19	96583084,16780574	96583103,16780593	-,+	1.146484375,1.087890625	>>	1	25	65
chr2,chr11	96583084,104231439	96583103,104231458	-,+	1.146484375,1.08203125	>>	1	25	65
chr2,chr3	96583084,82358408	96583103,82358427	-,+	1.146484375,1.08203125	>>	1	25	65
chr2,chr9	96583084,64960292	96583103,64960311	-,-	1.146484375,1.080078125	>>	1	25	65
chr2,chr11	96583084,12026855	96583103,12026874	-,-	1.146484375,1.076171875	>>	1	25	65
chr2,chr16	96583084,27469564	96583103,27469583	-,+	1.146484375,1.076171875	>>	1	25	65
chr2,chr11	96583084,78835900	96583103,78835919	-,+	1.146484375,1.07421875	>>	1	25	65
chr2,chr13	96583084,14191956	96583103,14191975	-,-	1.146484375,1.0732421875	>>	1	25	65
chr2,chr8	96583084,127190482	96583103,127190501	-,+	1.146484375,1.068359375	>>	1	25	65
chr2,chr1	96583084,84694206	96583103,84694225	-,+	1.146484375,1.06640625	>>	1	25	65
chr2,chr13	96583084,23402012	96583103,23402031	-,-	1.146484375,1.0625	>>	1	25	65
chr2,chr9	96583084,113424899	96583103,113424918	-,-	1.146484375,1.060546875	>>	1	25	65
chr2,chr17	96583084,83277799	96583103,83277818	-,+	1.146484375,1.0595703125	>>	1	25	65
chr2,chr5	96583084,49966373	96583103,49966392	-,-	1.146484375,1.056640625	>>	1	25	65
chr2,chr4	96583084,96697889	96583103,96697908	-,-	1.146484375,1.052734375	>>	1	25	65
chr2,chr11	96583084,117384917	96583103,117384936	-,+	1.146484375,1.0517578125	>>	1	25	65
chr2,chr5	96583084,117505369	96583103,117505388	-,-	1.146484375,1.05078125	>>	1	25	65
chr2,chr5	96583084,138194653	96583103,138194672	-,+	1.146484375,1.0498046875	>>	1	25	65
chr2,chr19	96583084,38431269	96583103,38431288	-,-	1.146484375,1.046875	>>	1	25	65
chr2,chr2	96583084,64942611	96583103,64942630	-,-	1.146484375,1.0458984375	>>	1	25	65
chr2,chr10	96583084,39523418	96583103,39523437	-,+	1.146484375,1.044921875	>>	1	25	65
chr2,chr18	96583084,56571470	96583103,56571489	-,-	1.146484375,1.044921875	>>	1	25	65
chr2,chr1	96583084,91917943	96583103,91917962	-,+	1.146484375,1.0400390625	>>	1	25	65
chr2,chr13	96583084,38239861	96583103,38239880	-,-	1.146484375,1.0390625	>>	1	25	65
chr2,chr10	96583084,96616867	96583103,96616886	-,-	1.146484375,1.0390625	>>	1	25	65
chr2,chr4	96583084,88776878	96583103,88776897	-,-	1.146484375,1.0322265625	>>	1	25	65
chr2,chr17	96583084,48101340	96583103,48101359	-,-	1.146484375,1.02734375	>>	1	25	65
chr2,chr13	96583084,89548586	96583103,89548605	-,+	1.146484375,1.0263671875	>>	1	25	65
chr2,chr2	96583084,165399623	96583103,165399642	-,+	1.146484375,1.0244140625	>>	1	25	65
chr2,chr9	96583084,26771251	96583103,26771270	-,-	1.146484375,1.0234375	>>	1	25	65
chr2,chr3	96583084,62192816	96583103,62192835	-,+	1.146484375,1.0234375	>>	1	25	65
chr2,chr1	96583084,84695188	96583103,84695207	-,+	1.146484375,1.017578125	>>	1	25	65
chr2,chr1	96583084,4777268	96583103,4777287	-,-	1.146484375,1.013671875	>>	1	25	65
chr2,chr12	96583084,57824036	96583103,57824055	-,+	1.146484375,1.013671875	>>	1	25	65
chr2,chr17	96583084,66119994	96583103,66120013	-,+	1.146484375,1.01171875	>>	1	25	65
chr2,chr13	96583084,116713866	96583103,116713885	-,-	1.146484375,1.0087890625	>>	1	25	65
chr2,chr10	96583084,39527137	96583103,39527156	-,+	1.146484375,1.0087890625	>>	1	25	65
chr2,chr18	96583084,82729732	96583103,82729751	-,-	1.146484375,1.0078125	>>	1	25	65
chr2,chr4	96583084,88773787	96583103,88773806	-,-	1.146484375,1.005859375	>>	1	25	65
chr2,chr1	96583084,93506254	96583103,93506273	-,+	1.146484375,1.00390625	>>	1	25	65
chr2,chr8	96583084,11422225	96583103,11422244	-,-	1.146484375,1.001953125	>>	1	25	65
chr2,chr9	96583084,118903219	96583103,118903238	-,-	1.146484375,1.001953125	>>	1	25	65
chr2,chr3	96583084,153909691	96583103,153909710	-,+	1.146484375,1.001953125	>>	1	25	65
chr2,chr8	96583084,24549004	96583103,24549023	-,+	1.146484375,0.99951171875	>>	1	25	65
chr2,chr19	96583084,11609742	96583103,11609761	-,+	1.146484375,0.9970703125	>>	1	25	65
chr2,chr12	96583084,4108576	96583103,4108595	-,-	1.146484375,0.9951171875	>>	1	25	65
chr2,chr5	96583084,33032319	96583103,33032338	-,-	1.146484375,0.994140625	>>	1	25	65
chr2,chr4	96583084,88773777	96583103,88773796	-,-	1.146484375,0.9912109375	>>	1	25	65
chr2,chr15	96583084,80267006	96583103,80267025	-,-	1.146484375,0.99072265625	>>	1	25	65
chr2,chr18	96583084,3492301	96583103,3492320	-,-	1.146484375,0.98876953125	>>	1	25	65
chr2,chr14	96583084,54651736	96583103,54651755	-,-	1.146484375,0.986328125	>>	1	25	65
chr2,chr7	96583084,122187246	96583103,122187265	-,-	1.146484375,0.984375	>>	1	25	65
chr2,chr15	96583084,95581714	96583103,95581733	-,-	1.146484375,0.984375	>>	1	25	65
chr2,chr16	96583084,10004575	96583103,10004594	-,+	1.146484375,0.984375	>>	1	25	65
chr2,chr6	96583084,115544679	96583103,115544698	-,-	1.146484375,0.9814453125	>>	1	25	65
chr2,chr1	96583084,84695201	96583103,84695220	-,-	1.146484375,0.9794921875	>>	1	25	65
chr2,chr5	96583084,144752623	96583103,144752642	-,-	1.146484375,0.9765625	>>	1	25	65
chr2,chr17	96583084,73300644	96583103,73300663	-,+	1.146484375,0.974609375	>>	1	25	65
chr2,chr13	96583084,73646582	96583103,73646601	-,+	1.146484375,0.97265625	>>	1	25	65
chr2,chr16	96583084,20496102	96583103,20496121	-,-	1.146484375,0.9716796875	>>	1	25	65
chr2,chr12	96583084,80721634	96583103,80721653	-,-	1.146484375,0.9697265625	>>	1	25	65
chr2,chr17	96583084,27190228	96583103,27190247	-,-	1.146484375,0.96728515625	>>	1	25	65
chr2,chr4	96583084,88776705	96583103,88776724	-,-	1.146484375,0.96630859375	>>	1	25	65
chr2,chr11	96583084,119242981	96583103,119243000	-,-	1.146484375,0.9658203125	>>	1	25	65
chr2,chr7	96583084,35880222	96583103,35880241	-,+	1.146484375,0.96484375	>>	1	25	65
chr2,chr13	96583084,42825204	96583103,42825223	-,-	1.146484375,0.96337890625	>>	1	25	65
chr2,chr9	96583084,21546181	96583103,21546200	-,-	1.146484375,0.9619140625	>>	1	25	65
chr2,chr2	96583084,72951824	96583103,72951843	-,+	1.146484375,0.96044921875	>>	1	25	65
chr2,chr15	96583084,25791251	96583103,25791270	-,+	1.146484375,0.9560546875	>>	1	25	65
chr2,chr1	96583084,69166603	96583103,69166622	-,+	1.146484375,0.955078125	>>	1	25	65
chr2,chr9	96583084,88227759	96583103,88227778	-,-	1.146484375,0.9541015625	>>	1	25	65
chr2,chr3	96583084,62194795	96583103,62194814	-,+	1.146484375,0.94970703125	>>	1	25	65
chr2,chr18	96583084,3492306	96583103,3492325	-,+	1.146484375,0.94970703125	>>	1	25	65
chr2,chr9	96583084,10903385	96583103,10903404	-,-	1.146484375,0.9482421875	>>	1	25	65
